INFO 2026-05-15 14:41:17,547 autoreload Watching for file changes with StatReloader
INFO 2026-05-15 14:53:20,370 log "GET /api/dashboard/today/ HTTP/1.1" 200 2184
INFO 2026-05-15 14:53:21,974 log "GET /api/settings/clinic/ HTTP/1.1" 200 90
INFO 2026-05-15 14:53:21,996 log "GET /api/appointments/?date=2026-05-15 HTTP/1.1" 200 2155
INFO 2026-05-15 14:53:23,573 log "GET /api/patients/ HTTP/1.1" 200 2275
INFO 2026-05-15 14:53:24,557 log "GET /api/patients/2/ HTTP/1.1" 200 516
INFO 2026-05-15 14:53:24,558 log "GET /api/treatments/?patient=2 HTTP/1.1" 200 634
INFO 2026-05-15 14:53:24,572 log "GET /api/appointments/?patient=2 HTTP/1.1" 200 1254
INFO 2026-05-15 14:53:24,576 log "GET /api/payments/?patient=2 HTTP/1.1" 200 400
INFO 2026-05-15 14:53:24,579 log "GET /api/documents/?patient=2 HTTP/1.1" 200 52
INFO 2026-05-15 14:53:30,498 log "GET /api/auth/me/ HTTP/1.1" 200 115
INFO 2026-05-15 14:53:30,531 log "GET /api/appointments/?date=2026-05-15 HTTP/1.1" 200 2155
INFO 2026-05-15 14:53:30,543 log "GET /api/settings/clinic/ HTTP/1.1" 200 90
INFO 2026-05-15 14:53:32,220 log "GET /api/patients/ HTTP/1.1" 200 2275
INFO 2026-05-15 14:53:33,261 log "OPTIONS /api/patients/12/ HTTP/1.1" 200 0
INFO 2026-05-15 14:53:33,261 log "OPTIONS /api/appointments/?patient=12 HTTP/1.1" 200 0
INFO 2026-05-15 14:53:33,262 log "OPTIONS /api/payments/?patient=12 HTTP/1.1" 200 0
INFO 2026-05-15 14:53:33,262 log "OPTIONS /api/documents/?patient=12 HTTP/1.1" 200 0
INFO 2026-05-15 14:53:33,262 log "OPTIONS /api/treatments/?patient=12 HTTP/1.1" 200 0
INFO 2026-05-15 14:53:33,284 log "GET /api/treatments/?patient=12 HTTP/1.1" 200 52
INFO 2026-05-15 14:53:33,285 log "GET /api/appointments/?patient=12 HTTP/1.1" 200 52
INFO 2026-05-15 14:53:33,287 log "GET /api/documents/?patient=12 HTTP/1.1" 200 52
INFO 2026-05-15 14:53:33,294 log "GET /api/patients/12/ HTTP/1.1" 200 507
INFO 2026-05-15 14:53:33,295 log "GET /api/payments/?patient=12 HTTP/1.1" 200 52
INFO 2026-05-15 14:53:34,427 log "GET /api/auth/me/ HTTP/1.1" 200 115
INFO 2026-05-15 14:53:34,465 log "GET /api/treatments/?patient=12 HTTP/1.1" 200 52
INFO 2026-05-15 14:53:34,465 log "GET /api/payments/?patient=12 HTTP/1.1" 200 52
INFO 2026-05-15 14:53:34,465 log "GET /api/documents/?patient=12 HTTP/1.1" 200 52
INFO 2026-05-15 14:53:34,474 log "GET /api/patients/12/ HTTP/1.1" 200 507
INFO 2026-05-15 14:53:34,474 log "GET /api/appointments/?patient=12 HTTP/1.1" 200 52
INFO 2026-05-15 14:53:34,605 log "GET /api/auth/me/ HTTP/1.1" 200 115
INFO 2026-05-15 14:53:34,639 log "GET /api/treatments/?patient=12 HTTP/1.1" 200 52
INFO 2026-05-15 14:53:34,640 log "GET /api/patients/12/ HTTP/1.1" 200 507
INFO 2026-05-15 14:53:34,640 log "GET /api/documents/?patient=12 HTTP/1.1" 200 52
INFO 2026-05-15 14:53:34,645 log "GET /api/payments/?patient=12 HTTP/1.1" 200 52
